?Яблуниця.Приватна садиба Віталія.	Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Довгий Грунь», тел.моб. +38096 7450629 Ярослав, +38096 9794755 Марія.				
?Яблуниця.Пансіонат Беркут.Відпочинок в Карпатах.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, Яблуницький перевал,	тел.моб. +38(067)9440497 Євдокія, +38(067)9282237 Дмитро. тел. +38(03434) 36230, 36242, 36219,			
?Котедж У Яни.Яблуниця.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Потоки»	тел. моб. +38(067) 7727953 Василь, +38(067) 3004120 Сніжана,+38(095) 0040717 Василь.			
?Котедж Стожари.Яблуниця.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада,				
?Відпочинок в Карпатах.Яблуниця.Котедж Соколине гніздо.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Село»,	тел.моб. +38(050) 3731881 Олег Степанович, тел.дом. +38(0342) 554827 (після 21.00).			
?Котедж Славний Гуцул.Яблуниця.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада,с.Яблуниця, урочище «Село»,	тел.моб. +38096 1167275 - Галина Федорівна,+38097 8555274 - Анатолій.			
?Відпочинок в Карпатах.Яблуниця.Котеджі Прутець.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Село»,	тел. +38(096) 9251343 Марія, +38(067) 3123616 Нуцу.			
?Котедж Краєвид.Яблуниця.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Горішків»	тел. моб. +38(096) 8774307 Аня.			
?Яблуниця.Котеджі Гута.	78592, Івано-Франківська обл., Яремчанська міська рада, с. Яблуниця, урочеще Довгий грунь, тел. моб.(050) 8396246,(050) 8380036.&nbsp	&nbsp	&nbsp	http://karpaty-guta.com.ua	
?Котедж Горянка.Яблуниця.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Великий Грунь»	тел. моб. +38 (099) 3060796 Зоя, +38 (050) 9047871.			
?Котедж Бaртка.Яблуниця.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, Яблуницький перевал,	тел.моб.+38(097)7484323 Тарас			
?Гостинний двір Постоялий двір.Яблуниця.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Горішків», тел. моб. +38(098) 4045078 Адміністратор, +38(097) 9047834, Ігор.				
?Відпочинок в Карпатах.Яблуниця.Гостинний двір У Щербанюків.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Село», тел. +38(03434) 36210, тел.моб. +38(067) 2729135 Галина, +38(067) 5923064 Василь.				
?Яблуниця.Гостинний двір Тога.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Горішків», тел.моб. +38 097 9047834 Ігор, +38 098 4045078.				
?Гостинний двір Діана.Яблуниця.Відпочинок в Карпатах.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Село»,	тел. +38(03434) 36412, тел. моб. +38(067) 7432140 Марія, +38(067) 2760576 Василь.			
?Яблуниця.Гостинний двір Гостинний Перевал.Ціни 2016.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Горішків»,	тел.моб. +38(067) 2700560 - Петро Петрович, +38(096) 2753574 Валентина Петрівна.			
?Гостинний двір Бaртка.Яблуниця.	Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Довгий Грунь», тел.моб. +38 097 7484323 Тарас, +38 099 9198333.				
?Готель Кісва.Яблуниця.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Горішків»,	тел. моб. +38(067)9289592, +38(093)9235254.			
?Яблуниця.Готель Hoch Land(Висока земля).	Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Горішків», тел.моб. +38 03434 66003, +38 068 7062383, +38 066 1085141,	+38 093 6076654,+38 068 6795822.			
?Вілла Парламент.Яблуниця.Відпочинок в Карпатах.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Горішків», тел. моб. +38(097) 8390000, +38(067) 6768455   - Володимир.				
?Вілла Марія.Яблуниця.Відпочинок в Карпатах.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Діл»,  тел.+38(03434) 36321, тел. моб. +38(097) 1836381 Богдан, +38(096) 6950163 Марія.				
?Відпочинковий комплекс Яблуницький перевал.Яблуниця.	78592, Івано-Франківська обл., Яремчанська міська рада, с. Яблуниця, урочеще Довгий грунь, тел. моб. +38(050) 4339344, Андрій.				
?Відпочинок в Карпатах.Яблуниця.База відпочинку Чотири сезони.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Діл», тел. +38(03434) 36413, тел.моб. +38(067)3547083 Ольга Богданівна,+38(067)6722826 - представник в турагенстві,тел. +38(0352)430717.				
?Сауна Гуцулик.Татарів.Відпочинок в Карпатах.	Яремчанська міська рада, с.Татарів, вул. Курортна, 10, тел. моб. +38(067) 2926001, Тетьяна, тел. моб. +38(099) 2807900, Тетьяна.				
?Відпочинок в карпатах.Татарів.Колиба Гуцульський двір.	Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 453, тел.моб. +38(067) 900490.				
?Татарів.Приватна садиба Яна.	Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 5, тел. +38 03434 35269,  тел.моб. +38 098 7287728 Параскевія Іванівна.				
?Приватна садиба Чертіж.Татарів.Відпочинок в Карпатах.	78596 ,Івано-Франківська обл.,Яремчанська міська рада, с. Татарів ,вул. Бащенка 283.		тел.моб. +38(067) 8019757 , +38(050) 0822110 Андрій.		
?Татарів.Приватна садиба Юрта.	Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 711, тел.моб. +38096 4650490 Тетяна, +38099 3145629, +38097 2984562 Юрій.				
?Татарів.Приватна садиба Стара хата.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 190, тел.моб. +38(098) 4781668 Галина, тел.дом. +38 03434 35254				
?Відпочинок в Карпатах.Татарів.Приватна садиба Прутець.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності 346-а,	тел. моб. +38(067) 7446624 Лілія,+38(066)7538356,+38(03434) 35444 факс.			
?Татарів.Приватна садиба Лелеч.Ціни 2016.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів,вул. Шевченка, тел. +38(03434) 35393, тел.моб. +38(067) 3840404, +38(097)3123020 - Тетяна.				
?Приватна садиба Ністру.Татарів.Відпочинок в Карпатах.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Ворохтянська 728,	тел. моб. +38(098) 0077693 ,+38(096) 3590177 , +(373)77945610.			
?Приватна садиба На гуцульській полонині.Татарів.Відпочинок в Карпатах.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, урочище Женець 576,	тел.моб. +38094 9235392,+38050 3333787.&nbsp	&nbsp	Email:info@sadiba.net	
?Відпочинок в Карпатах.Татарів.Приватна садиба Карпатський креєвид.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності 372 , тел.(803434) 35359, тел.моб. (8096) 4807585 Галина Степанівна.				
?Приватна садиба Зоряна.Татарів.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 339,	тел.моб. +38(067) 9892395, +38(050) 5281235 Петро.email:az1201@ukr.net			
?Татарів.Приватна садиба Золото карпат.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів ,вул.Грушевського 148. тел. +38(03434) 35436, тел. моб. +38(067) 8966217 Наталія.				
?Приватна садиба Зима-Літо.Татарів.Відпочинок в Карпатах.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Шевченка 1 ,	тел. +38(03434) 35242 тел.моб.+38(067) 2533060,+38(050) 1933934 Ігор.			
?Приватна садиба Гуцулик.Татарів.Відпочинок в Карпатах.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул. Курортна, 10,	тел. моб. +38(067) 2926001, Тетьяна, тел. моб. +38(099) 2807900, Тетьяна.&nbsp	&nbsp	 email:tetyana_sulyatytska@rambler.ru	
?Татарів.Котеджі Білий камінь.Ціни 2016.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 350,	тел.моб. +38(097) 8536665 Галина Юріївна, тел. (03434) 35278.			
?Відпочинок в Карпатах.Татарів.Котедж Файний.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності 305, тел. моб. +38(067) 7446624 Лілія,+38(066)7538356.				
?Відпочинок в Карпатах.Татарів.Котеджі У Бажанів.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, тел.моб. +38(067) 9076298 Володимир.				
?Котедж Tower(Таввер).Татарів.Відпочинок в Карпатах.	Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Миру, 607, тел.моб. +38067 9062711 Альберт.				
?Котедж Стефані.Татарів.Відпочинок в Карпатах.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул. Незалежності, 692	тел. моб. +38(097) 2635355,Марія тел. моб. +38(096) 3491919 Степан. тел +38(03434)35433			
?Котедж Зорецвіт.Татарів.Відпочинок в Карпатах.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів,вул.Курортна, тел.моб. +38(098) 5274171 Світлана.				
?Відпочинок в Карпатах.Татарів.Котедж Затишок під лісом.	78596, Івано-Франківська обл., Яремчанська міська рада, с. Татарів, вул. Миру, тел. моб. тел. моб. +38(097) 8565050, Світлана, тел. моб. +38(096) 9125868 Галина.				
?Відпочинок в Карпатах.Татарів.Котедж Желіховський.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул. Шевченка 680А,	тел. моб. +38(067) 8029477 Юрій,+38(095)6405747.тел. +38(03434)35226email:zhelsxovskij@mail.ru			
?Татарів.Котедж Дует.	Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Шевченка,  тел.моб. +38098 0118228.				
?Татарів.Котеджі Демянів двір.Ціни 2016.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Вербівська 10,	тел.моб. +38096 6204021 Аня,+38067 8613521 Іван.			
?Відпочинок в Карпатах.Татарів.Садиба Вишенька.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 178,	тел.моб.+38(067) 7369011 Юліан,+38(067) 7878819 Ліда,+38(063) 0591097			
?Татарів.Котедж Богданна.	78590, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Курортна, тел.моб. +38 096 9854709 Богдана,+38 098 5573443 Богдана.				
?Гостинний двір Рута.Татарів.Відпочинок в Карпатах.	Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул..Шевченка, тел.моб.+38 067 5015967, +38099 5423113 - Василь Петрович, +38 068 5807520 - Мирослава				
?Гостинний двір Гуцульський двір.Татарів.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 453,	тел.моб. +38(097) 2640159, тел. +38(03434) 35207.			
?Татарів.Гостинний двір Бай.Ціни 2016.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, Шевченка,	тел.моб. +38096 2267414 Тетяна, +38097 5776396 Ігор.			
?Татарів.Гостинний двір Анастасія.Ціни 2016.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул. Незалежності, 600 тел. моб.	+38(097) 7715022 Наталія, тел. моб. +38(099) 5415231. &nbsp	&nbsp		
?Готель Коренюки.Татарів.	Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Шевченка 680,	тел.моб. +38066 1183314,+38096 4335017.			
?Татарів.Міні-готель Ашер.Ціни 2016.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, ур Піги,	тел.моб. +38050 3220177,+38067 9033652			
?Татарів.Котедж Вілла Ясна.Ціни 2016.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Шевченка, тел. +38(03434) 35242 тел.моб.+38(067) 2533060 Ігор.				
?Вілла Provans(Прованс).Татарів.Відпочинок в Карпатах.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Шевченка,	тел.моб. +38(050)3383147  , +38(050) 6888844 , +38(067)4552189 - Адміністратор.			
?Татарів.Вілла Арніка.Ціни 2016.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Шевченка 3, тел.моб.+38(097) 5180604, +38(098) 1111628, +38(099) 9302582.&nbsp	&nbsp			
?Апартаменти Кришталеве джерело.Татарів.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул..Шевченко, тел.моб. +38(067) 2533060 Ігор, +38(050) 1933934.				
?Готельний комплекс Лаванда Country Club.Татарів.	Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності, 42, тел.. +38 050 4330050 - бронювання, +38 095 1370599, +38 096 1245866 - рецепція.				
?Відпочинковий комплекс Дикий мед.Татарів.Відпочинок в Карпатах.	78500, Івано-Франківська обл., с. Татарів урочеще «Женець»  тел.моб. +38095 1371635, +38099 0617771, +38098 0310001  адміністратор				
?Відпочинок в Карпатах.Татарів.Котедж Файний.	78596, Івано-Франківська обл., Яремчанська міська рада, с.Татарів, вул.Незалежності 305, тел. моб. +38(067) 7446624 Лілія,+38(066)7538356.				
?Поляниця.Буковель. Сауна на дровах з басейном Марілен	Яремчанська міська рада, с.Поляниця, вул.Центральна, тел.моб. (8067) 7472588, (8097) 4644174.				
?Поляниця.Буковель. Сауна на дровах з басейном Корона.	Яремчанська міська рада, с.Поляниця,вул.Тернопільська 3-а, тел.моб. (8050) 9803680.				
?Ресторан Зоряне сяйво.Поляниця/Буковель/.Відпочинок в Карпатах.	Яремчанська міська рада, с.Поляниця,тел.моб. (8097) 1754954  Юрій, (8097) 8530341 Мар’яна.				
?Ресторан Довбушанка.Поляниця/Буковель/.Відпочинок в Карпатах.	с.Поляниця, урочище «Вишня»,	тел.моб. +38(067) 3441555			
?Ресторан Гуцульська світлиця.Поляниця/Буковель/.Відпочинок в Карпатах.	с.Поляниця, вул.Центральна , тел. (803434) 37234, (8097) 9611450.				
?Приватна садиба Ялина.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок «Центр» вул. Карпатська 88 А,	тел.моб. +38(067) 4276518 - Оксана. +38(066)8588684			
?Приватна садиба Юліта.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця,	тел.моб. +38(067) 3521054 Олександр			
?Приватна садиба У Світлани.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок «Чурів» вул. Чурів,	тел. +38(097) 7018274 - Світлана,тел.моб. +38(096) 8570308 - Вячеслав.			
?Приватна сдиба У Процихи.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, урочище «Вишня» ,	тел.моб.+38(097)9883905 Василина,+38(097)0267680,+38(066)8272800, тел. +38(03434)37253 Василина.			
?Приватна садиба Три сестри.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця,	тел.моб. +38(067)6031475 Тарас,+38(099)9045856 Володимир.			
?Приватна садиба Сніжинка.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с. Поляниця, урочеще «Стаїщі»,	тел. моб. +38(067) 4221708, Іванка.+38(050)7264441.			
?Приватна садиба Смерічка.Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, ур.Вишня, тел.моб. +38096 2192862 Ірина.				
?Приватна сaдиба Сегельба.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с. Поляниця, урочеще «Прохідний», тел. моб. +38097 7290726 Марія.				
?Приватна садиба Рандеву.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с. Поляниця, урочеще «Стаїще»,	тел. моб. +38(067)4962536, +38(096) 0968162.			
?Поляниця(Буковель).Приватна садиба Прилучанка.Ціни 2016.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок Прелуки,	тел.моб. +38096 9552859 -Василь, +38098 3214445 Галина.			
?Приватна садиба Катруся.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с. Поляниця, урочеще Вишні, тел. моб. (067) 3987229, Марія Іванівна.				
?Приватна садиба Eros.Поляниця/Буковель/.	78500, Івано-Франківська обл., Яремчанська міська рада, с Поляниця, участок Стаїщі.	тел.моб +38066 2031444,+38098 0724434,+37525 9709354,+48787 984046.			
?Приватна садиба Зелений бір.Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, ур.Вишня, тел.моб. +38096 4543179 Василь,+38067 4214920 Павло.				
?Приватна садиба Довбушанка.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, урочище «Вишня» ,	тел. моб. +38(067) 3441555 рецепція.			
?Приватна садиба Горянка.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок «Стащі» 138,	тел.моб. +38(097) 9462375 Марія, тел. +38(03434) 37237.			
?Гостинний двір Гуцулія.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок «Прелуки» ,Рецепція -	тел. моб. Київстар- +38(097) 5722825 ,МТС(UMS)- +38(066)0898727 Надія	&nbsp	 +38(067) 3721921 Андрій.	
?Приватна садиба Гірський краєвид.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок «Вишня» ,	тел.моб. +38(067) 7880901 - Уляна, +38(067) 4775294 - Дмитро.			
?Приватна садиба Вікторія.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с. Поляниця, урочеще Прелуки,	тел. моб. +38(067) 5801296, Уляна, тел. моб. +38(096) 2735720 Василь.			
?Котедж Фляшка.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, тел.моб.	+38(067) 8832343 Анна, +38(096) 5375880  Василь.			
?Поляниця(Буковель).Котеджі У Руслана.Ціни 2016.	78771,Івано-Франківська обл..,Яремчанська міська рада, с. Поляниця  участок «Прелуки».	тел.моб.+38097 2604612  Ігор, +38096 2090830 Люба, тел. (03434) 37-3-20.			
?Котедж У Кравецьких.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, урочище Прохідне,	тел.моб.+380679480641, +380958823955 - Генадій			
?Котедж Сокирка.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, тел.моб. +38(097) 7879873 - Василь, +38(097) 9489785 - Марія.				
?Гостинні котеджі SVI.Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, центр,вул.Грунь, тел.моб. +38(097)4987290 Уляна, +38(097)3490769 Василь.				
?Котедж Росіш.Поляниця/Буковель/.	78500, Івано-Франківська обл., Яремчанська міська рада, с Поляниця, участок Росіш.	тел.моб +38096 7829517 Марія,+38097 8681811 Роман.			
?Котедж Роксолана.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, урочище Чурів, тел.моб. +38(096) 8132657 Мар’яна, +38(097) 8423861 Василь.				
?Котедж Підгір'я.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, урочище «Вишня» , тел. моб. +38096 2732268 Марта, +38097 8393495 Михайло.				
?Котедж Опришок.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, вул.Центральна,	тел.моб.+38(097) 2321322, Галина.			
?Котедж Еко Хаус.Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця,	тел.моб.  +38096 9200009	 +38099 6220009  Віктор  e-mail: CLK600@bigmir.net		
?Котеджі Затишок над Прутом.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок «Росіш» 61,	тел.моб. +38(067)3693115 - Василь Васильович, +38(098)8016807 - Тетяна Василівна.			
?Котеджі Дует.Поляниця/Буковель/.Відпочинок в Карпатах.	"78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок ""Росіш"", тел.моб. +38098 8544055, +38067 9161549.."				
?Котедж Добра Оселя.Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, участок «Росіш»,	тел. +38 096 3543209 Ульяна, +38 096 7576165 Ульяна, +38 067 2659302 Ігор.			
?Котедж Дімон.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, центр, тел.моб. +38(098) 0713633 Оксана.				
?Котедж Греку.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с. Поляниця, вул. Карпатська,				
?Котедж Гладіолус.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, тел.моб. +38(096) 9365859 Мирослава, +38(097)6275167  Іван.				
?Котеджі Веселі горяни.Поляниця/Буковель/.Відпочинок в Карпатах.	78771,Івано-Франківська обл..,Яремчанська міська рада, с. Поляниця  участок «Прелуки».	тел.моб:+38(098)2386850,+38(096) 8659591.			
?Котедж Буков'єла.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с. Поляниця, участок «Стаїщі»,	тел. дом. +38(03434) 37210, тел. моб. +38(097) 7006078 Марія.			
?Котедж Аннабель.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с. Поляниця, участок «Центр»,	тел.моб.+3867 7466468,+38098 7774947.			
?Котедж Буковинський затишок.Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, центр Буковелю, тел.моб. +38(050)3380898, +38(067)3724715.				
?Котедж Аsgard(Азгард).Поляниця/Буковель/.	78500, Івано-Франківська обл., Яремчанська міська рада, с Поляниця, урочище Вишня.	тел.моб +38097 1502917 Михайло,+38095 7061095.			
?Готель Чарда.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця,участок Стаїще 280,	тел.моб. +38(050) 6771632, +38(067) 5918164. &nbsp	Email:&nbsp	charda_hotel@i.ua	
?Міні-готель Садиба Предків.Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, урочище «Вишня», 257, тел.моб. +38 068 9685251, +38 095 5575051.				
?Міні-готель Прелуки.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, урочище Прелуки,	тел.моб. +38(067) 9217175 Володимир Миколайович, +38(099)6316996.			
?Готель PolyanytSki(Поляницький).Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, Центр, тел.моб. +38050 0494949,+38068 0494949.				
?Готель Під Стріхою.Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, урочище «Вишня», тел.моб. +38 067 9773613 Наталія.				
?Готель Новий.Поляниця/Буковель/.Відпочинок в Карпатах.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця,	тел.моб. +38(097) 5455815 Лариса.			
?Готель Carparosa(Карпароса).Поляниця/Буковель/.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Поляниця, ур.Чурів 320,	тел.моб. +38050 7104949,+38096 7104949,+38073 1077768.			
